"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Loorenkopfstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Loorenkopf","","1571.0000000000","","","","","","","","","","","","","","","","8053","sp137","","0","","grosse Kiesfläche, keine Spielgeräte, Sitzbänke,  Feuerstelle, Brunnen, Unterstand, Waldspielplatz, Waldlichtung, Aussichtsturm","+41 44 422 54 97","","","","","","Loorenkopfstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Loorenkopfstrasse&tolat=47.36967359&tolon=8.59894936","137","J","0 - 5 Jahre","keine Spielgeräte","","","Waldspielplatz in Waldlichtung, Aussichtsturm","Spielfläche im Wald","grosse Kiesfläche","0137","POINT (2687639 1247185)"
"","Zurlindenstrasse (Eingang SPPL)","","","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz_Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<br>Damit will man dieses Quartier aufwerten.<br>","","","Spielplatz","","Zurlindenstrasse (Eingang SPPL)","","1572.0000000000","","","","","","","","","","","","","","","","","sp9648","","0","","","+41 44 412 46 13","","","","","","Zurlindenstrasse (Eingang SPPL)","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Zurlindenstrasse 40","","N","","","","","","","","TAZ010","POINT (2681828 1246996)"
"","Schärrergasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Schärrerwiese","","1573.0000000000","","","","","","","","","","","","","","","","8049","sp090","","1","","Spiel- und Liegewiese,  Wasserspielbereich, Brettschaukel, Bockrutsche, Kletteranlage mit Rutsche, Pumpen, Sandbereich, Spielkisten, Sitzbänke, Pergola, Heckenlabyrinth","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schärrergasse&tolat=47.40282776&tolon=8.49757365","90","J","0 - 9 Jahre","Brettschaukel, Bockrutsche, Kletteranlage mit Rutsche, Pumpen, Sandbereich","","","grosszügige Parkanlage mit Heckenlabyrinth","Spielplatz","Spiel- und Liegewiese,  Wasserspielbereich","0090","POINT (2679932.8 1250762.6)"
"Heinrichstrasse 240","Quartierpark Schütze-Areal","Quartierpark Schütze","","Die Spielwiese im Zentrum des Quartierparks","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Quartierpark Schütze (B)Quartierpark Schütze (B)","","1574.0000000000","","","","","","","","","","","","","","","Zürich","8005","sp9569","","1","","","+41 44 412 46 13","","","","","","Quartierpark Schütze-Areal","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Quartierpark%20Schütze-Areal&tolat=47.38943114&tolon=8.52353555","","N","","","","","","","","0151B","POINT (2681913 1249300)"
"","Nord-/Kronenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Schindlergut","","1575.0000000000","","","","","","","","","","","","","","","","8006","sp033a","","1","","Spiel- und Liegewiese, Sandbereich, Brettschaukel, Kletteranlagen mit Rutsche, Korbschaukel, Tischtennistisch, Sitzbänke, Feuerstellen, Gemeinschaftszentrum, Aussicht, Pflanzenlabyrinth","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Nord-/Kronenstrasse&tolat=47.38691101&tolon=8.53654472","33a","J","0 - 16 Jahre","Sandbereich, Brettschaukel, Kletteranlagen mit Rutsche, Korbschaukel, Tischtennistisch","","","Gemeinschaftszentrum, sehr grosszügige Anlage mit Aussicht, Pflanzenlabyrinth","GZ mit Spielplatz","Spiel- und Liegewiese","0033A","POINT (2682899 1249033.5)"
"","Glaubten-Müseli (Süd)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Glaubten-Müseli (Süd)Glaubten-Müseli (Süd)","","1576.0000000000","","","","","","","","","","","","","","","Zürich","8049","sp9623","","1","","","+41 44 412 46 13","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Glaubten-Müseli%20(Süd)&tolat=47.40753645&tolon=8.51216471","","N","","","","","","","","0088B","POINT (2681027 1251301)"
"","Owenweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Entlisberg/Owenweg","","1643.0000000000","","","","","","","","","","","","","","","","8038","sp085","","1","","Spiel- und Liegewiese, Balkenwippe, Spielhaus, Federwippe, Sitzkarussell, Kletteranlage mit Rutsche, Hangrutsche, Brettschaukel, Federwippe, Sandbereich, Tischtennistisch, Sitzbänke,","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Owenweg&tolat=47.33805548&tolon=8.52751767","85","J","0 - 9 Jahre","Balkenwippe, Spielhaus, Federwippe, Sitzkarussell, Kletteranlage mit Rutsche, Hangrutsche, Brettschaukel, Federwippe, Sandbereich, Tischtennistisch","","","einzigartige, krumme und schiefe Kletteranlage","Spielplatz","Spiel- und Liegewiese","0085","POINT (2682292.8 1243592.8)"
"","Gutstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Im Gut","","2528.0000000000","","","","","","","","","","","","","","","","8055","sp069","","1","","Spiel- und Liegewiese, Sandbereich, Kletteranlage mit Rutsche, Lauschrohr, Sitzbänke","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Gutstrasse&tolat=47.37131155&tolon=8.50550176","69","J","0 - 9 Jahre","Sandbereich, Kletteranlage mit Rutsche, Lauschrohr","","","Attraktiver, vielfältiger Spielplatz","Spielplatz","Spiel- und Liegewiese","0069","POINT (2680578.8 1247267)"
"","Schaffhauserstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Emil-Oberhänsli-Anlage","","2529.0000000000","","","","","","","","","","","","","","","","8050","sp007","","1","","Spiel- und Liegewiese, Federwippe,  Schwingwippe, Kleinkinderschaukel, Rutsche, Sandbereich, Sandspielgeräte, Tischtennistisch, Sitzbänke","+41 44 412 06 77","","","","","","Schaffhauserstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schaffhauserstrasse&tolat=47.41743549&tolon=8.54508432","7","J","0 - 5 Jahre","Federwippe,  Schwingwippe, Kleinkinderschaukel, Rutsche, Sandbereich, Sandspielgeräte, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","Spiel- und Liegewiese","0007","POINT (2683496 1252436)"
"","Neunbrunnenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Cafe_Parkplatz_Besuchenden-WC_Behinderten-WC_Kiosk<BR>Bancomat","","","Spielplatz","","Neunbrunnenanlage","","2530.0000000000","","","","","","","","","","","","","","","","8050","sp008","","1","","Grünzug am Bach, Balanciergerät, Schaukel, Sitzbänke, Brunnen, Baumbestand","+41 44 412 06 77","","","","","","Neunbrunnenstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Neunbrunnenstrasse&tolat=47.41705144&tolon=8.54291622","8","J","0-5 Jahre","Balanciergerät, Schaukel","","","alter Baumbestand, von Strasse gut abgeschirmt","Spielplatz","Grünzug am Bach","0008","POINT (2683333 1252391)"
"","Hallwylstreasse / Schimmelstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz","","","Spielplatz","","Hallwylstreasse / SchimmelstrasseHallwylstreasse / Schimmelstrasse","","2531.0000000000","","","","","","","","","","","","","","","Zürich","","sp9624","","0","","","+41 44 412 46 13","","","","","","Hallwylstreasse / Schimmelstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hallwylstrasse 84","","N","","","","","","","","TAZ001","POINT (2682144 1247107)"
"","Erismannstrasse 2-16","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Erismannhof","","2532.0000000000","","","","","","","","","","","","","","","","8004","sp107","","1","","Spiel- und Liegewiese, Brettschaukel, Sandkasten, Kletteranlage mit Rutsche, Tischtennistisch, Sitzbänke, Spielanlage im Innenhof","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Erismannstrasse%202-16&tolat=47.37958975&tolon=8.51962598","107","J","0 - 5 Jahre","Brettschaukel, Sandkasten, Kletteranlage mit Rutsche, Tischtennistisch","","","Spielanlage im Innenhof","Spielplatz","Spiel- und Liegewiese","0107","POINT (2681633 1248201.9)"
"","Heuelstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sonnenberg-Terrasse","","2533.0000000000","","","","","","","","","","","","","","","","8032","sp050","","1","","Kletteranlage, Brettschaukel, Sandbereich, Spielhaus, Federwippe, Balkenwippe,  Hangrutsche, Sitzbänke, Brunnen, Pergola, Aussicht","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Heuelstrasse&tolat=47.36807643&tolon=8.56723380","50","J","0 - 5 Jahre","Kletteranlage, Brettschaukel, Sandbereich, Spielhaus, Federwippe, Balkenwippe,  Hangrutsche","","","wunderschöne Aussicht auf die Stadt","Spielplatz","Quartierspielplatz","0050","POINT (2685246.2 1246972.5)"
"","Schweighofstrasse/Döltschiweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Känguruhwiese","","2534.0000000000","","","","","","","","","","","","","","","","8055","sp076","","1","","Spiel- und Liegewiese, Hartplatz, Schlittelhügel, Federwippe, Sandkasten, Kletteranlage mit Rutsche, Korbschaukel, Sitzbänke, Brunnen,Streuobstwiese","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schweighofstrasse/Döltschiweg&tolat=47.36370639&tolon=8.50133782","76","J","0 - 16 Jahre","Federwippe, Sandkasten, Kletteranlage mit Rutsche, Korbschaukel","","","grosszügige Parkanlage mit Streuobstwiese","Spielplatz","Spiel- und Liegewiese, Hartplatz, Schlittelhügel","0076","POINT (2680275.8 1246417.2)"
"","Friesenbergsstrasse/Wasserschöpfi","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Wasserschöpfi","","2535.0000000000","","","","","","","","","","","","","","","","8055","sp075","","1","","Spiel- und Liegewiese, Pumpe, Tischtennistisch, ZüriWC, Sitzbänke","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Friesenbergsstrasse/Wasserschöpfi&tolat=47.36498746&tolon=8.50811424","75","J","0 - 5 Jahre","Pumpe, Tischtennistisch","","","kleine, übersichtliche Anlage","Spielplatz","Spiel- und Liegewiese","0075","POINT (2680785.8 1246566.6)"
"","Süsslerenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Süsslerenanlage","","2558.0000000000","","","","","","","","","","","","","","","","8047","sp113","","1","","Bachspielplatz, Spiel- und Liegewiese, Schlittelhügel, Hüpfteller, Federwippe, Kletteranlage,  Sandkasten, Brettschaukel, Hangrutsche, Balanciergerät, Tischtennistisch, Sitzbänke, Baumbestand","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Süsslerenstrasse&tolat=47.37620064&tolon=8.49376262","113","J","0 - 5 Jahre","Hüpfteller, Federwippe, Kletteranlage,  Sandkasten, Brettschaukel, Hangrutsche, Balanciergerät, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","Bachspielplatz, Spiel- und Liegewiese, Schlittelhügel","0113","POINT (2679685 1247798.5)"
"","Herzogenmühlestrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Herzogenmühle","","2559.0000000000","","","","","","","","","","","","","","","","8051","sp016","","1","","Spiel- und Liegewiese, Bach, Sandanlage, Arena, Sandbereich, Sandspielgerät, Sitzbänke, Wasseranschluss","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Herzogenmühlestrasse&tolat=47.40541743&tolon=8.57258528","16","J","0-5 Jahre","Sandbereich, Sandspielgerät","","","kleine Grünanlage am Bach","Spielplatz","Spiel- und Liegewiese, Bach, Sandanlage, Arena","0016","POINT (2685590.5 1251129.5)"
"","Muggenbühlstrasse 15","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Muggenbühl","","2560.0000000000","","","","","","","","","","","","","","","","8038","sp082","","1","","Spiel- und Liegewiese, Hangrutsche, Drehkletterturm, Federwippe, Reck, Sandkasten, Sitzbänke","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Muggenbühlstrasse%2015&tolat=47.35043000&tolon=8.52647989","82","J","0 - 5 Jahre","Hangrutsche, Drehkletterturm, Federwippe, Reck, Sandkasten","","","ruhige, übersichtliche Spielanlage","Spielplatz","Spiel- und Liegewiese","0082","POINT (2682195.5 1244967.2)"
"","Zurlindenstrasse 232 (Spielplatz)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Zurlindenhof I","","2561.0000000000","","","","","","","","","","","","","","","","8003","sp062","","1","","Spiel- und Liegewiese, Spielhügel, Hangrutsche, Korbschaukel, Balanciergerät, Sandbereich, Kletterelement, Federwippe, Sitzbänke","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zurlindenstrasse%20232%20(Spielplatz)&tolat=47.37590451&tolon=8.51367582","62","J","0 - 9 Jahre","Hangrutsche, Korbschaukel, Balanciergerät, Sandbereich, Kletterelement, Federwippe","","","grosszügiger, ruhiger Innenhof","Spielplatz","Spiel- und Liegewiese, Spielhügel","0062","POINT (2681189.2 1247786)"
"","Steinstrasse / Erlachstrasse","","","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz","","","Spielplatz","","Steinstrasse / ErlachstrasseSteinstrasse / Erlachstrasse","","2563.0000000000","","","","","","","","","","","","","","","","","sp9644","","0","","","+41 44 412 46 13","","","","","","Steinstrasse / Erlachstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Steinstrasse 33","","N","","","","","","","","TAZ006","POINT (2681688 1246823)"
"","Fritschi-/Badener-/Zypressenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Fritschiwiese","","2564.0000000000","","","","","","","","","","","","","","","","8003","sp061","","1","","Spielhügel,  Boulderwand, Planschbecken, Slackline, Pumpen, Brettschaukel, Drehkletterturm, Drehscheibe, Karussell, Seilbahn, Hangrutsche, Spielhaus, Brettschaukel, Tischtennistisch, Kletterelement, Sitzbänke, Feuerstellen, Spielanimation","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Fritschi-/Badener-/Zypressenstrasse&tolat=47.37604548&tolon=8.51203956","61","J","0 - 16 Jahre","Slackline, Pumpen, Brettschaukel, Drehkletterturm, Drehscheibe, Karussell, Seilbahn, Hangrutsche, Spielhaus, Brettschaukel, Planschbecken, Boulderwand, Tischtennistisch, Kletterelement","","","grosszügige, beliebte Parkanlage mit Planschbecken","Spielplatz","Spiel-  und Liegewiese, Spielhügel,  Boulderwand, Planschbecken","0061","POINT (2681065.5 1247800)"
"","Museumstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Platzspitz","","2586.0000000000","","","","","","","","","","","","","","","","8001","sp060","","1","","Kiesplatz, Drehscheiben, Brettschaukel, Klettergerät, Balkenwippe, Schachspiel, Sitzbänke, historische Parkanlage, Baumbestand","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Museumstrasse&tolat=47.38030301&tolon=8.53934623","60","J","0 - 5 Jahre","Drehscheiben, Brettschaukel, Klettergerät, Balkenwippe, Schachspiel","","","historische Parkanlage mit schönem Baumbestand","Spielplatz","Kiesplatz","0060","POINT (2683121 1248301.9)"
"","Wolfbachtobelweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Wolfbachtobel","","2587.0000000000","","","","","","","","","","","","","","","","8032","sp048","","1","","Spiel- und Liegewiese, Schotterrasen, Seilanlage, Spiegel, Brettschaukel, Hangrutsche, Seilkletteranlage, Sitzbänke, Blockhütte, Liegerost, Ausflugsziel, Bach","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Wolfbachtobelweg&tolat=47.37189959&tolon=8.56196083","48","J","0 - 9 Jahre","Seilanlage, Spiegel, Brettschaukel, Hangrutsche, Seilkletteranlage","","","Familienausflugsziel an einem Bachtobel mit Blockhütte","Spielplatz","Spiel- und Liegewiese, Schotterrasen","0048","POINT (2684842 1247391.9)"
"","Zollikerstrasse","Seeburgpark","","Quartierpark mit altem Baumbestand und ausgedehnten Wiesenflächen.","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz_Quartierpark mit altem Baumbestand und ausgedehnten Wiesenflächen.","","","Spielplatz","","Seeburgpark","","2588.0000000000","","","","","","","","","","","","","","","Zürich","","sp9572","","1","","","+41 44 412 46 13","","","","","","Zollikerstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Zollikerstrasse&tolat=47.36056073&tolon=8.55613673","","N","","","","","","","","0153","POINT (2684420 1246125)"
"","Saatlenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Saatlen-Grünzug","","2589.0000000000","","","","","","","","","","","","","","","","8051","sp014","","1","","Sandanlage, Sandbereich, Matschtisch, Sandspielgeräte, Kletteranlage mit Rutsche, Brettschaukel, Sitzbänke, Grünzug","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Saatlenstrasse&tolat=47.40597415&tolon=8.56831295","14","J","0-5 Jahre","Sandbereich, Matschtisch, Sandspielgeräte, Kletteranlage mit Rutsche, Brettschaukel","","","Grünzug","Spielplatz","Sandanlage","0014","POINT (2685267 1251186.8)"
"","","","","","","Grün Stadt Zürich","202503051124","","Tiefbau- und Entsorgungsdepartement (TED)","","","","90","","Balanciergerät","","","Spielplatz","","SchörliSchörli","","2590.0000000000","","","","","","","","","","","","","","","Zürich","8051","sp9655","","1","Schörlistrasse","","044 412 12 35","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/haltestellenfahrplan.html","Dreispitz","","N","3 - 15","Balanciergerät","","","Spielplatz auf dem Ueberlandpark","Spielplatz","Balanciergerät","0127","POINT (2684882.5 1251130.6)"
"","Hardau","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardaupark","","2591.0000000000","","","","","","","","","","","","","","","","8004","sp173","","1","","Spiel- und Liegewiese, Liegerost aus Holz, Hartplatz, Balanciergerät, Matschtisch, Rotationsgerät, Brettschaukel, Sandbereich, Pumpe, Drehteller, Feuerstelle, Sitzbänke, Züri-WC, Basketball, Brunnen, Sonnenschirm, Parkanlage","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hardau&tolat=47.37953735&tolon=8.50962955","173","J","0 - 9 Jahre","Balanciergerät, Matschtisch, Rotationsgerät, Brettschaukel, Sandbereich, Pumpe, Drehteller","","","moderne, grosszügige Parkanlage","Spielplatz","Spiel- und Liegewiese, Liegerost aus Holz, Hartplatz","0173","POINT (2680878.2 1248185.6)"
"","Stauffacher-/St. Jakobstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lutherwiese","","2592.0000000000","","","","","","","","","","","","","","","","8004","sp114","","1","","Spiel- und Liegewiese, Kombischaukel, Federwippe, Korbschaukel, Kletteranlage mit Rutsche, Sandbereich, ZüriWC, Sitzbänke","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Stauffacher-/St.%20Jakobstrasse&tolat=47.37456062&tolon=8.52828930","114","J","0 - 5 Jahre","Kombischaukel, Federwippe, Korbschaukel, Kletteranlage mit Rutsche, Sandbereich","","","Quartierspielplatz","Spielplatz","Spiel- und Liegewiese","0114","POINT (2682294.8 1247651.8)"
"","Limmatstrasse 176, 8005 Zürich","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","176","","","","","Spielplatz","","SH Kornhaus BSH Kornhaus B","","2593.0000000000","","","","","","","","","","","","","","","Zürich","8005","sp9650","","1","Limmatstrasse","","+41 44 412 46 13","","","","","","Zürich, Limmatplatz","https://online.fahrplaninfo.zvv.ch/frame_hst3.php?lang=de&hstNr=1557&hstName=","","J","0 - 9 Jahre","Balanciergerät, Sandbereich, Sandspielgerät, Sandspielgeräte, Pumpe, Seilanlage, Wasserspiel","","","","","","0539","POINT (2682458 1248998.9)"
"","Irringersteig","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Irringersteig","","2615.0000000000","","","","","","","","","","","","","","","","8006","sp172","","1","","Spiel- und Liegewiese, Kletterelement, Sandkasten, Seilanlage mit Rutsche, Balanciergerät, Kletterelement, Sitzbänke","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Irringersteig&tolat=47.37953993&tolon=8.55139491","172","J","0 - 9 Jahre","Kletterelement, Sandkasten, Seilanlage mit Rutsche, Balanciergerät, Kletterelement","","","Quartierspielplatz","Spielplatz","Spiel- und Liegewiese","0172","POINT (2684032 1248229.9)"
"","Schweighofstr./Staudenweg/ Bachtobelstr.","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Murmeliwiese","","2616.0000000000","","","","","","","","","","","","","","","","8045","sp080","","1","","Spiel- und Liegewiese, Velopark, Kletteranlage mit Rutsche, Wasserförderanlage, Sandbereich, Hängematte, Korbschaukel, Tischtennistisch, Sitzbänke, Pergola, Bach","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Schweighofstr./Staudenweg/%20Bachtobelstr.&tolat=47.35753805&tolon=8.50845672","80","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Wasserförderanlage, Sandbereich, Hängematte, Korbschaukel, Tischtennistisch","","","schöner Bachspielplatz mit Velopark","Spielplatz","Spiel- und Liegewiese, Velopark","0080","POINT (2680823 1245738.8)"
"","Katzenseestrasse, am Südufer des Katzensees","","","Der Spielplatz ist temporär geschlossen.","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","_NULL","","","Spielplatz","","Katzensee (Seebad)","","2617.0000000000","","","","","","","","","","","","","","","","8046","sp121","","1","","Spiel- und Liegewiese, Sandanlage, Brettschaukel, Sandbereich, Korbschaukel, Sandspielgeräte, Kletteranlage mit Rutsche, Sitzbänke,  Feuerstelle, Ufer","+41 44 371 05 13","","","","","","Katzenseestrasse, am Südufer des Katzensees","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Katzenseestrasse 200","121","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Korbschaukel, Sandspielgeräte, Kletteranlage mit Rutsche","","","sehr schöne Lage, naturnahe Uferbereiche","Spielplatz in Badeanlage","Spiel- und Liegewiese, Sandanlage","0121","POINT (2679600 1253914)"
"","Althoosstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Althoos","","2618.0000000000","","","","","","","","","","","","","","","","8046","sp012","","1","","Spiel- und Liegewiese, Sandbereich, Brettschaukel, Hüpfteller, Hangrutsche, Pergola, Sitzbänke","+41 44 371 05 13","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Althoosstrasse&tolat=47.41046193&tolon=8.52144514","12","J","0 - 9 Jahre","Sandbereich, Brettschaukel, Hüpfteller, Hangrutsche","","","grosszügige Grünanlage","Spielplatz","Spiel- und Liegewiese","0012","POINT (2681723 1251635.9)"
"","Stiglenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Eichrain Tennisplatz","","2619.0000000000","","","","","","","","","","","","","","","","8052","sp132a","","1","","Kiesfläche, Federwippe, Sandbereich, Brettschaukel, Sitzbänke, Pergola, Tennisplatz","+41 44 412 06 77","","","","","","Stiglenstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Stiglenstrasse&tolat=47.42892779&tolon=8.54825244","132a","J","0 - 5 Jahre","Federwippe, Sandbereich, Brettschaukel","","","kleine Spielanlage neben Tennisplatz","Spielplatz","Kiesfläche","0132A","POINT (2683717 1253717)"
